Производитель,Модель,Цена,Цена без скидки,Скидка,Процессор,Дискретная видеокарта,Встроенная видеокарта,Оперативная память,SSD,HDD,Экран,Операционная система,Ссылка
AORUS,15P KD,134999,149999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 240 Гц",без ОС,https://www.dns-shop.ru/product/482ecda1da0ad763/156-noutbuk-aorus-15p-kd-cernyj/characteristics/
ASUS,TUF Dash F15 FX516PR-HN033T,134999,149999,10,Intel Core i7-11370H 4x3.3 ГГц,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/83500cec338b3332/156-noutbuk-asus-tuf-dash-f15-fx516pr-hn033t-seryj/characteristics/
MSI,Katana GF66 11UG-079XRU,134999,149999,10,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/ca36f40fa7282ff1/156-noutbuk-msi-katana-gf66-11ug-079xru-cernyj/characteristics/
MSI,Pulse GL66 12UEK-231XRU,134999,0,0,Intel Core i7-12700H 6x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,8 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/39ef8f319fa32ff4/156-noutbuk-msi-pulse-gl66-12uek-231xru-seryj/characteristics/
MSI,GL76 Pulse 12UEK-088XRU,134999,0,0,Intel Core i5-12500H кол-во ядер: 4,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/3a993486d5aded20/173-noutbuk-msi-gl76-pulse-12uek-088xru-seryj/characteristics/
Lenovo,Legion 5 15ITH6H,136999,0,0,Intel Core i5-11400H 6x2.7 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 165 Гц",без ОС,https://www.dns-shop.ru/product/5c9c84ef7d9ded20/156-noutbuk-lenovo-legion-5-15ith6h-sinij/characteristics/
HP,OMEN 16-c0031ur,139499,154999,10,AMD Ryzen 5 5600H 6x3.3 ГГц,AMD Radeon RX 6600M 8 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 16.1"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/1199207bd6782ff4/161-noutbuk-hp-omen-16-c0031ur-seryj/characteristics/
AORUS,15P KD,139999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 240 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/3470a1150154c823/156-noutbuk-aorus-15p-kd-cernyj/characteristics/
MSI,Stealth 15M A11UEK-230XRU,139999,0,0,Intel Core i7-11375H 4x3.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/d1b6e9d9a7272ff1/156-noutbuk-msi-stealth-15m-a11uek-230xru-seryj/characteristics/
MSI,GF76 Katana 11UE-268RU,139999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/0947b79019f2ed20/173-noutbuk-msi-gf76-katana-11ue-268ru-cernyj/characteristics/
Lenovo,ThinkBook 16p G2 ACH,144999,0,0,AMD Ryzen 5 5600H 6x3.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"2560x1600 16"" IPS 60 Гц",Windows 10 Pro,https://www.dns-shop.ru/product/7cd99765f0fbed20/16-noutbuk-lenovo-thinkbook-16p-g2-ach-seryj/characteristics/
